round: 1
step: 0
Movement. id robot:0 point:(13, 19) , energy:998
Movement. id robot:1 point:(50, 59) , energy:998
Movement. id robot:2 point:(27, 32) , energy:998
Movement. id robot:3 point:(25, 79) , energy:998
Movement. id robot:4 point:(14, 62) , energy:998
Movement. id robot:5 point:(56, 66) , energy:998
Movement. id robot:6 point:(35, 3) , energy:998
Movement. id robot:7 point:(10, 88) , energy:998
Movement. id robot:8 point:(72, 90) , energy:998
Movement. id robot:9 point:(66, 26) , energy:998
Movement. id robot:10 point:(26, 48) , energy:998
Movement. id robot:11 point:(19, 89) , energy:998
Movement. id robot:12 point:(49, 64) , energy:998
Movement. id robot:13 point:(31, 37) , energy:998
Movement. id robot:14 point:(24, 99) , energy:998
Movement. id robot:15 point:(61, 1) , energy:998
Movement. id robot:16 point:(98, 97) , energy:998
Movement. id robot:17 point:(15, 78) , energy:998
Movement. id robot:18 point:(9, 20) , energy:998
Movement. id robot:19 point:(13, 19) , energy:998
Attack robot. id robot:19 point:(13, 19), id target robot: 0, attack:5
Resource movement. id robot:19 point:(13, 19), health 100
Movement. id robot:20 point:(73, 11) , energy:998
Movement. id robot:21 point:(83, 65) , energy:998
Movement. id robot:22 point:(57, 25) , energy:998
Movement. id robot:23 point:(83, 86) , energy:998
Movement. id robot:24 point:(44, 91) , energy:998
Added robot health on point. id robot:25 point:(80, 46), health:100
Movement. id robot:25 point:(80, 47) , energy:998
Movement. id robot:26 point:(34, 78) , energy:998
Movement. id robot:27 point:(99, 99) , energy:261
Did not movement. id robot:28 point:(99, 99) , energy:798
Movement. id robot:29 point:(99, 99) , energy:821
Movement. id robot:30 point:(77, 99) , energy:822
Movement. id robot:31 point:(80, 99) , energy:822
Movement. id robot:32 point:(60, 79) , energy:823
Movement. id robot:33 point:(55, 90) , energy:823
Movement. id robot:34 point:(99, 99) , energy:823
Movement. id robot:35 point:(99, 99) , energy:824
Movement. id robot:36 point:(99, 99) , energy:824
Movement. id robot:37 point:(66, 96) , energy:824
Movement. id robot:38 point:(99, 99) , energy:824
Movement. id robot:39 point:(99, 99) , energy:824
Movement. id robot:40 point:(99, 99) , energy:825
Movement. id robot:41 point:(89, 99) , energy:825
Movement. id robot:42 point:(99, 82) , energy:825
Movement. id robot:43 point:(99, 98) , energy:825
Movement. id robot:44 point:(84, 93) , energy:825
Movement. id robot:45 point:(64, 72) , energy:825
Movement. id robot:46 point:(99, 57) , energy:826
Movement. id robot:47 point:(99, 99) , energy:826
Movement. id robot:48 point:(99, 99) , energy:826
Movement. id robot:49 point:(63, 99) , energy:827
Movement. id robot:50 point:(99, 81) , energy:888
