round: 4
step: 0
Movement. id robot:0 point:(86, 30) , energy:998
Movement. id robot:1 point:(32, 6) , energy:998
Movement. id robot:2 point:(20, 39) , energy:998
Movement. id robot:3 point:(97, 27) , energy:998
Movement. id robot:4 point:(8, 10) , energy:998
Movement. id robot:5 point:(91, 70) , energy:998
Movement. id robot:6 point:(43, 13) , energy:998
Movement. id robot:7 point:(67, 55) , energy:998
Movement. id robot:8 point:(28, 67) , energy:998
Movement. id robot:9 point:(78, 66) , energy:998
Movement. id robot:10 point:(58, 99) , energy:998
Movement. id robot:11 point:(22, 90) , energy:998
Movement. id robot:12 point:(48, 48) , energy:998
Movement. id robot:13 point:(42, 34) , energy:998
Movement. id robot:14 point:(35, 55) , energy:998
Movement. id robot:15 point:(13, 8) , energy:998
Did not movement. id robot:16 point:(87, 4) , energy:999
Did not movement. id robot:17 point:(22, 5) , energy:999
Did not movement. id robot:18 point:(42, 30) , energy:999
Movement. id robot:19 point:(55, 41) , energy:998
Resource movement. id robot:19 point:(55, 41), health 100
Did not movement. id robot:20 point:(42, 22) , energy:999
Did not movement. id robot:21 point:(19, 2) , energy:999
Movement. id robot:22 point:(79, 16) , energy:998
Movement. id robot:23 point:(21, 76) , energy:998
Movement. id robot:24 point:(96, 23) , energy:998
Movement. id robot:25 point:(87, 22) , energy:998
Did not movement. id robot:26 point:(49, 82) , energy:999
Movement. id robot:27 point:(99, 99) , energy:110
Movement. id robot:28 point:(99, 99) , energy:110
Movement. id robot:29 point:(99, 99) , energy:111
Did not movement. id robot:30 point:(99, 99) , energy:113
Did not movement. id robot:31 point:(99, 99) , energy:113
Movement. id robot:32 point:(99, 99) , energy:115
Movement. id robot:33 point:(99, 99) , energy:119
Did not movement. id robot:34 point:(99, 99) , energy:120
Did not movement. id robot:35 point:(99, 99) , energy:121
Movement. id robot:36 point:(99, 99) , energy:120
Movement. id robot:37 point:(99, 99) , energy:121
Movement. id robot:38 point:(99, 99) , energy:121
Movement. id robot:39 point:(99, 99) , energy:122
Movement. id robot:40 point:(99, 99) , energy:122
Movement. id robot:41 point:(99, 99) , energy:122
Movement. id robot:42 point:(99, 99) , energy:123
Movement. id robot:43 point:(99, 99) , energy:125
Did not movement. id robot:44 point:(99, 99) , energy:126
Did not movement. id robot:45 point:(99, 99) , energy:128
Did not movement. id robot:46 point:(99, 99) , energy:129
Movement. id robot:47 point:(99, 99) , energy:128
Movement. id robot:48 point:(99, 99) , energy:128
Movement. id robot:49 point:(99, 99) , energy:138
Movement. id robot:50 point:(99, 99) , energy:138
Movement. id robot:51 point:(99, 99) , energy:154
Movement. id robot:52 point:(99, 99) , energy:168
Did not movement. id robot:53 point:(45, 51) , energy:998
Did not movement. id robot:54 point:(45, 51) , energy:998
Did not movement. id robot:55 point:(45, 51) , energy:998
Did not movement. id robot:56 point:(45, 51) , energy:998
step: 1
Movement. id robot:0 point:(87, 31) , energy:996
Movement. id robot:1 point:(33, 7) , energy:996
Movement. id robot:2 point:(20, 40) , energy:996
Movement. id robot:3 point:(97, 28) , energy:996
Movement. id robot:4 point:(9, 11) , energy:996
Did not movement. id robot:5 point:(91, 70) , energy:997
Movement. id robot:6 point:(43, 14) , energy:996
Movement. id robot:7 point:(67, 56) , energy:996
Did not movement. id robot:8 point:(28, 67) , energy:997
Did not movement. id robot:9 point:(78, 66) , energy:997
Movement. id robot:10 point:(59, 99) , energy:996
Movement. id robot:11 point:(23, 90) , energy:996
Movement. id robot:12 point:(49, 49) , energy:996
Movement. id robot:13 point:(43, 35) , energy:996
Movement. id robot:14 point:(36, 55) , energy:996
Movement. id robot:15 point:(14, 8) , energy:996
Movement. id robot:16 point:(88, 5) , energy:997
Movement. id robot:17 point:(23, 6) , energy:997
Did not movement. id robot:18 point:(42, 30) , energy:998
Movement. id robot:19 point:(48, 48) , energy:996
Resource movement. id robot:19 point:(48, 48), health 100
Did not movement. id robot:20 point:(42, 22) , energy:998
